hotel_name,zip,lat_long
"8f- 2 Bedroom Apt on 12 street Best Location, New York",10003,"['40.731265', '-73.986539']"
"10 East 117th Street #1 3 Bedrooms 1 Bathroom Apts, New York",10035,"['40.80136', '-73.944668']"
"Gild Hall, A Thompson Hotel, New York",10038,"['40.707946', '-74.007114']"
"The Allen House (sleeps 5), New York",10002,"['40.718929', '-73.990701']"
"Upper West Side Manhattan, New York",10031,"['40.828744', '-73.94133']"
"Hotel Beacon, New York",10023,"['40.780752', '-73.9813']"
"536 9th Avenue #3fn. 182 2 Bedrooms 1 Bathroom Apts, New York",10018,"['40.756806', '-73.993435']"
"St Marks Hotel, New York",10003,"['40.729411', '-73.989667']"
"The Kitano Hotel New York, New York",10016,"['40.74962', '-73.97962']"
"CITY ROOMS NYC - Soho, New York",10013,"['40.71847', '-74.00052']"
"SIXTY Lower East Side, New York",10002,"['40.722149', '-73.988817']"
"The Lexington Hotel, Autograph Collection, New York",10017,"['40.75508', '-73.97338']"
